l_simp_chinese:
 ide_tot_soc: "极权社会主义"
 sec_efficient_sociopath: "行动力强的反社会人士"
 sec_efficent_organizer: "高效的组织专家"
 sec_health_and_safety: "卫生与安全"
 sec_crooked_kleptocrat: "坑蒙拐骗的政客"
 sec_educator: "教育家"
 sec_architect_artist: "建筑艺术家"
 sec_man_of_the_people: "人民之子"
 sec_propaganda_master: "宣传大师"
 sec_secret_police_chief: "秘密警察头子"
 sec_imperial_bootlicker: "帝国马屁精"
 sec_mathematician: "数学家"
 int_decryptor: "解密者"
 int_encryptor: "加密者"
 int_balanced_cryptographer: "稳健密码专家"
 int_resistance_crusher: "抵抗之粉碎者"
 army_peace_keeper: "维和者"
 hos_populist_president: "得心应手的民粹主义者"
 hos_successor: "继业者"
 trait_drone_operator: "无人机驾驶员"
 mad_dog: "疯狗"
 mad_dog_desc: "§L美国海军陆战队上将詹姆斯·诺曼·马蒂斯因其为海军陆战队和美军做出的卓越贡献，以及在战场之外表现出的大嘴巴和强硬言辞等引人注目的行为举止而得到了“疯狗‘的绰号。围绕此人的争议也从未停止过，他在军中和民间的支持者对他爱戴有加，而批评者则担心他可能是一个不理性、不可靠的指挥官。但实事求是地说，没人能够阻止疯狗的脚步。§!"
 trait_SOV_marshal_of_russian_federation: "俄罗斯联邦元帅"
 trait_SOV_marshal_of_russia: "俄罗斯元帅"
 trait_SOV_marshal_of_soviet_union: "苏联元帅"
 trait_SOV_marshal_of_union_state: "联盟元帅"
 trait_NOV_LPR: "卢甘斯克指挥官"
 trait_NOV_DPR: "顿涅茨克指挥官"
 trait_BLR_SOV: "白俄罗斯指挥官"
 hog_technocratic_businessman: "技官商人"
 int_ideological_enforcer: "意识形态执法者"
 theorist_cost_cutter: "军事成本削减者"
 theorist_special_forces_expert: "特种部队专家"
 air_force_connections: "空军关系户"
 air_force_connections_desc: "§L这名将领与空军关系密切。§!"
 medical_specialist: "医学专家"
 medical_specialist_desc: "§L有洁癖者§!"
 clinically_insane: "精神病患者"
 clinically_insane_desc: "§L仙女们在跟我说话§!"
 eco_industrial_chemist: "化工专家"
 for_socialist_internationalist: "社会主义国际主义者"
 eco_economic_silent_workhorse: "经济实干家"
 trait_APA_inspiring_commissar: "鼓舞人心的政委"
 trait_APA_inspiring_commissar_desc: "§L这位政委能够激励士兵们完成不可能完成的任务，战斗到最后一息。不革命，毋宁死！§!"
 hos_Solid_Snake: "非洲之蛇"
 trait_SOV_new_oprichnik: "新特辖区管"
 trait_SOV_new_oprichnik_desc: "§L该指挥官是新特辖区管的一员。§!"
 trait_SOV_supreme_leader: "最高领袖"
 trait_SOV_supreme_leader_desc: "§L这位指挥官即弗拉基米尔·日里诺夫斯基，大俄罗斯的最高领袖。§!"
 emergency_powers_trait: "紧急状态权力"
 hos_brave: "勇敢"
 hos_craven: "鸡"
 hos_calm: "冷静"
 hos_wrathful: "愤怒"
 hos_content: "安于现状"
 hos_ambitious: "野心勃勃"
 hos_diligent: "勤勉"
 hos_lazy: "懒惰"
 hos_forgiving: "宽容"
 hos_vengeful: "复仇者"
 hos_gregarious: "外向"
 hos_shy: "内向"
 hos_recluse: "隐士"
 hos_just: "公正"
 hos_paranoid: "偏执"
 hos_compassionate: "慈悲"
 hos_sadistic: "施虐狂"
 hos_stubborn: "固执"
 FAF_imperator: "皇帝"
 hos_cult_of_personality_halved: "个人崇拜"
 hos_neo_federalist_trait: "法西斯联邦派"
 hos_first_consul_trait: "第一执政"
 hos_cultural_supremacist_trait: "文化霸权"
 openly_gay: "公开的同性恋"
 int_softie: "多愁善感"
 int_former_spy: "前特工"
 int_psychological_mastermind: "心理大师"
 hos_the_final_revolutionary1: "最后的革命"
 PTF_faction_blueshirt: "£GFX_PTF_Blueshirts_texticon §2蓝衫军§!"
 PTF_faction_njp: "£GFX_PTF_Spartanists_texticon §R全国正义党§!"
 PTF_faction_jacksonian: "£GFX_PTF_Jacksonians_texticon §7杰克逊派§!"
 PTF_faction_hamiltonian: "£GFX_PTF_Hamiltonians_texticon §9汉密尔顿派§!"
 trait_supreme_chancellor: "最高议长"
 trait_GER_revolutionary_helmsman: "革命舵手"
 trait_dictator: "独裁者"
 APA_faction_jacobin: "£APA_jacobin §R雅各宾派§!"
 APA_faction_octoberist: "£APA_octoberist §O十月派§!"
 APA_faction_anarchist: "£APA_anarchist §G无政府派§!"
 APA_faction_neosocialist: "£APA_neosocialist §C新社派§!"
 APA_faction_greens: "£APA_greens §7美国绿党§!"
 hog_decentralized_governance: "分权政府"
 eco_radical_green_new_deal: "激进绿色新政"
 trait_american_zhukov: "美利坚的朱可夫"
 trait_american_zhukov_desc: ""
 hos_lady_of_steel: "红色名媛"
 hos_beacon_of_hope: "革命灯塔"
 sec_damned_liberal: "该死的自由派"
 sec_anti_pope: "对立教宗"
 sec_queen_of_france: "法国女王"
 sec_religious_nationalist: "宗教民族主义"
 theorist_guerilla_warfare_expert: "游击战专家"
 trait_victorious_marshal: "常胜元帅"
 USC_patriot_fac: "£GFX_USC_patriot_texticon §7爱国派§!"
 USC_populist_fac: "£GFX_USC_populist_texticon §2民粹派§!"
 USC_libertarian_fac: "£GFX_USC_libertarian_texticon §Y自由意志派§!"
 hos_protector_of_the_american_dream: "美国梦的守护者"
 for_america_first_diplomacy: "美国优先外交"
 ATW_faction_satanist: "$ATW_satanist_name$"
 ATW_faction_accelerationist: "$ATW_accelerationist_name$"
 ATW_faction_christian: "$ATW_christian_name$"
 theorist_assymetrical_warfare_expert: "非对称战争专家"
 eco_economic_organizer_super: "经济组织者"
 hog_effective_manager: "高效管理"
 hos_godfather_of_accelerationism: "加速主义教父"
 trait_russian_military_thought: "俄罗斯军事学校"
 trait_APA_zealous_anti_fascist: "激进的反法西斯战士"
 trait_APA_zealous_anti_fascist_desc: "§L这位指挥官是个激进的反法西斯战士，他对新纳粹种族主义的狂信徒恨之入骨。§!"
 hos_harbringer_of_the_apocalypse: "天启先驱"
 hog_syncretic_politics: "混合政治"
 hos_heir_of_great_dynasties: "圣朝之裔"
 USB_liberal_fac: "£GFX_USB_liberal_texticon §8自由派§!"
 USB_progressive_fac: "£GFX_USB_progressive_texticon §p进步派§!"
 USB_conservative_fac: "£GFX_USB_conservative_texticon §4共和党§!"
 USB_innovationist_fac: "£GFX_USB_innovationist_texticon §g革新派§!"
 hos_national_symbol: "国家象征"
 hos_the_rightful_heir: "合法继承者"
 hos_national_president: "国家总统"
 hos_the_great_warlord: "大军阀"
 hos_foster_son_of_vladimir_volfvich: "弗拉基米尔·沃尔福维奇的养子"
 hos_godfather_of_chongqing_model: "重庆模式之父"
 hos_maoist_messiah: "毛派解放者"
 eco_corrupt: "腐败"
 army_chief_unity_of_party_and_military: "军党一心"
 hos_harbringer_of_the_second_coming: "第二次降临的先驱"
 hos_star_of_chinese_perestroika: "华夏改革之星"
 hos_the_new_deng_xiaoping: "新邓小平"
 army_chief_shellfire_determine_victory: "炮火决胜"
 eco_theoretical_scientist: "理论科学家"
 eco_shipping_baron: "航运大亨"
 hos_hopeful_reformer: "希望之人"
 hos_determined_reformer: "坚定的改革家"
 hos_enlightened_gentleman: "开明的绅士"
 hos_desire_rise: "渴望腾飞"
 hog_military_government_cabinet: "军政府内阁"
 eco_computer_economic_managment: "AI经济管理"
 sec_ai_anti_corruption: "科技反腐"
 hos_puppet_of_the_partocrats: "保守提名者"
 hos_supreme_leader_iran: "伊斯兰革命最高领袖"
 hog_god_machine: "上帝机"
 hos_red_dragon_rider_1: "红龙驭者"
 trait_SOV_hero_russian_federation: "联邦英雄"
 CHI_Taiwan_Junta_Fanatic: "激进狂热"
 trait_dunce: "蠢货"
 trait_dunce_desc: "§L嗯姆，蜡笔……§!"
 USB_liberal_populist_fac: "£GFX_USB_liberal_populist_texticon §Y民粹主义者§!"
 USB_unity_figure: "£GFX_USB_liberal_texticon £GFX_USB_progressive_texticon §8团结§!§pF润滑油§!"
 USC_ultraloyalist_fac: "£GFX_USC_patriot_texticon §d肝脑涂地派§!"
 USC_conservative_fac: "£GFX_USC_conserative_texticon §2保守派§!"
 hos_anti_globalist: "反全球化"
 hos_custodian_of_world_order: "世界秩序监护者"
 hos_teflon_don: "“特氟龙”教父"
 hos_vanguard_of_america_2: "美利坚雄狮"
 eco_visionary_capitalist: "远见资本家"
 sec_efficent_attorney: "高效律师"
 sec_hardline_ideologue: "强硬思想家"
 USC_liberal_populist_fac: "£GFX_USB_liberal_populist_texticon §I自由民粹派§!"
 USC_left_patriot_fac: "£GFX_USC_left_patriots_texticon §s左派爱国者§!"
 USC_nationalist_fac: "£GFX_USC_wignats_texticon §.民族主义者§!"
 USC_supreme_commander_and_chief: "最高统帅"
 hog_charming_hillbilly: "风情乡巴佬"
 eco_america_first_economics: "美国优先经济"
 sec_populist_propagandist: "民粹宣传家"
 sec_soldier_of_the_people: "人民的子弟兵"
 USC_hog_vizier_of_capitalism: "资本主义维齐尔"
 USC_hog_macho_man: "硬汉"
 USC_hog_president_of_the_people: "人民总统"
 hog_shadow_president: "影中总统"
 USB_blue_dog_fac: "£GFX_USB_blue_dog_texticon §3蓝狗§!"
 hos_madam_president: "总统女士"
 for_firebrand_soldier: "激进士兵"
 for_loyal_magnate: "忠诚巨头"
 for_balanced_interventionist: "平衡干涉主义者"
 eco_oil_baron: "石油大王"
 sec_tough_sheriff: "强硬的警长"
 sec_peacemaker: "和解者"
 USB_transhumanist_fac: "£GFX_USB_innovationist_texticon §g超人类主义者§!"
 int_spy_staffer: "情报幕僚"
 hos_hope_is_back: "希望重回"
 hos_red_dragon_rider_3: "红龙驭者"
 hos_the_great_reformer: "伟大改革者"
 GER_CDU_fac: "£GFX_GER_cdu_texticon §4保守党§!"
 GER_SPD_fac: "£GFX_GER_spd_texticon §t社民党§!"
 GER_Grunen_fac: "£GFX_GER_greens_texticon §G绿党§!"
 GER_FDP_fac: "£GFX_GER_fdp_texticon §Y市场自由主义§!"
 GER_Linke_fac: "£GFX_GER_die_linke_texticon §R自由意志社会主义§!"
 GER_AFD_fac: "£GFX_GER_afd_texticon §g威权民主主义§!"
 eco_strategic_destruction_proponent: "战略破坏提倡者"
 eco_tank_proponent: "坦克提倡者"
 bdn_articial_leadership: "AI领袖"
 bdn_common_sense: "书写常识"
 bdn_honest_abe: "诚实的亚伯"
 bdn_macarthur: "核武将军"
 hos_under_house_arrest: "被软禁中"
 hog_his_serene_highness_knyaz: "尊貴的亲王殿下"
 hog_pragmatic_statesman_2: "务实的政治家"
 FRA_ide_soc_lib: "£GFX_FRA_centrist_texticon §8中间派§!"
 FRA_ide_mar_lib: "£GFX_FRA_guallist_texticon §Y共和派§!"
 FRA_ide_soc_con: "£GFX_FRA_populist_texticon §3右翼民粹派§!"
 FRA_ide_soc_dem: "£GFX_FRA_socialists_texticon §I社会派§!"
 FRA_ide_lib_soc: "£GFX_FRA_unbowed_texticon §t左派§!"
 FRA_ide_aut_dem: "£GFX_FRA_nationalist_texticon §L威权民主派§!"
 FRA_ide_despot: "£GFX_FRA_militarist_texticon §4军国派§!"
 FAF_ide_fasc: "£GFX_FAF_fascist_texticon §.法西斯派§!"
 FAF_ide_monarchist: "£GFX_FAF_monarchist_texticon §I君主派§!"
 FAF_ide_bonapartist: "£GFX_FAF_bonapartist_texticon §P波拿巴派§!"
 FAF_ide_pan_euro: "£GFX_FAF_paneuro_texticon §8泛欧派§!"
 FAF_ide_ide: "£GFX_FAF_identitarian_texticon §Y认同主义者§!"
 FAF_ide_despot: "£GFX_FAF_national_revolutionary_texticon §n民族革命§!"
 FRA_ide_modem: "£GFX_FRA_christian_democrat_texticon §O基督教民主派§!"
 PRC_new_great_helmsman_trait: "新的伟大舵手"
 hos_Unbowed_Revolutionary_libsoc: "不屈的革命者"
 for_progressive_diplomat: "进步外交官"
 FPR_ide_red_junta: "£GFX_FPR_redjunta_texticon §d新斯大林主义者§!"
 FPR_ide_rad_melen: "£GFX_FPR_jacobin_texticon §I雅各宾派§!"
 FPR_ide_anarchist: "£APA_anarchist §G无政府主义者§!"
 FPR_ide_trotskyist: "£GFX_FPR_trotskyist_texticon §A托洛茨基主义者§!"
 FPR_ide_socialist: "£GFX_FPR_libertarians_texticon §p社会主义者§!"
 FPR_ide_melenchon: "£GFX_FRA_unbowed_texticon §t梅朗雄主义者§!"
 PRC_the_god_emperor_of_china_trait: "中国皇帝"
 hos_president_japan: "日本首相"
 hos_emerald_weapon: "翡翠巨兽"
 for_cool_japan: "酷日本"
 for_senbonzakura: "千本樱"
 eco_wise: "英明神武"
 sec_ace_attorney: "王牌律师"
 sec_loud_lawyer: "大嗓门律师"
 int_featuring_dante: "以《鬼泣》系列的但丁为主角"
 int_son_sparda: "斯巴达之子"
 directed_by_hideo_kojima: "小岛秀夫导演"
 starring_kazuhira_miller: "和平·“卡兹”·米勒主演"
 sec_crazy_scientist: "疯狂的科学家"
 hos_voice_of_the_free_world: "自由世界之声"
 hos_great_leader_of_china: "中国的伟大领袖"
 hos_the_great_warlord_PRC: "大军阀"
 hos_the_architect: "建筑师"
 hos_grand_preceptor: "太师"
 hos_political_mastodon: "政治狂人"
 hos_president_of_the_commoners: "庶民总统"
 CHI_hos_madam_president: "总统女士"
 hos_depressed: "沮丧消沉"
 hos_champion_democracy: "民主捍卫者"
 hos_puppeteer_of_all_asia: "全亚洲傀儡师"
 hog_old_general_2: "老将军"
 eco_railway_magnate: "铁路大亨"
 ZZZ_blank_idea_trait: ""
 hog_reformist_soldier: "改革派军人"
 militia_officer: "民兵军官"
 militia_officer_desc: "§L受训指挥民兵部队作战。§!"
 commander_in_chief: "总司令"
 commander_in_chief_desc: "§L国家元首以及武装部队司令。§!"
 trait_PRC_august_1st_medal: "八一勋章"
 trait_PRC_august_1st_medal_desc: "§L这位将领被授予了§t八一勋章§!。\n\n八一勋章是现行中国军事荣誉制度下授予军人的最高荣誉，表彰在维护国家主权、安全、发展利益，推进国防和军队现代化建设中建立卓越功勋的军队人员。§!"
 trait_PRC_red_flag_medal: "红旗勋章"
 trait_PRC_red_flag_medal_desc: "§L这位将领被授予了§t红旗勋章§!。\n\n红旗勋章是一款战时勋章，授予忠实履行党和人民赋予的任务、在党的领导下英勇作战，为夺取胜利作出重大贡献的各级指挥员。§!"
 trait_PRC_red_star_medal: "红星勋章"
 trait_PRC_red_star_medal_desc: "§L这位将领被授予了§t红星勋章§!。\n\n红星勋章是一款战时勋章，授予在作战行动中坚决执行命令、作战英勇顽强、建立卓越功勋的战斗员和支援保障人员。§!"
 trait_PRC_tiger_tally: "虎符"
 trait_PRC_tiger_tally_desc: "§L这位将领被赐予了§Y虎符§!。\n\n虎符起源于中国古代的特殊军事符号，是皇帝和军队统帅调遣军队的契约凭证，象征中枢与将领们的团结与对后者的充分信任。§!"
 trait_PRC_goldfish_pouch: "金鱼袋"
 trait_PRC_goldfish_pouch_desc: "§L这位将领被赐予了§Y金鱼袋§!。\n\n金鱼袋起源于中国古代的官衔制度，高级官吏和将领们往往需要佩戴鱼袋来表明身份，而金鱼袋则是仅仅授予最尊贵之人的象征。§!"
 trait_PRC_iron_certificate: "铁券"
 trait_PRC_iron_certificate_desc: "§L这位将领被赐予了§Y铁券§!。\n\n铁券起源于中国古代的奖赏制度，是帝王们颁发给功臣重臣的特权凭证。持有铁券不仅代表身份，也意味着整个家族从此享有帝国承认的免死特权。§!"
 trait_SOV_derzhavnik_commander: "强权派指挥官"
 trait_SOV_derzhavnik_commander_desc: "§L该指挥官是强权派的忠实拥护者，被任命负责监督军队并维持其纪律。§!"
 trait_zealous_nationalist: "狂热的民族主义者"
 trait_zealous_nationalist_desc: "§L该指挥官是一名极端爱国者，能够激励士兵去完成不可能的任务，并战斗到最后一息。"
 trait_dictator_less_buff: "独裁者"
 eco_balanced_budget_economy_less_buff: "平衡预算经济学家"
 hos_pied_piper: "魔笛手"
